Ano/Mês,Temperature(°F),Temperature(°C)
2015/02,32.99,0.55
2015/03,45.39,7.44
2015/04,53.24,11.8
2015/05,60.84,16.02
2015/06,71.37,21.87
2015/07,73.92,23.29
2015/08,72.95,22.75
2015/09,68.54,20.3
2015/10,57.24,14.02
2015/11,44.6,7.0
2015/12,38.66,3.7
2016/01,32.22,0.12
2016/02,39.47,4.15
2016/03,47.5,8.61
2016/04,53.19,11.77
2016/05,60.33,15.74
2016/06,71.76,22.09
2016/07,75.22,24.01
2016/08,73.53,23.07
2016/09,67.12,19.51
2016/10,57.72,14.29
2016/11,47.97,8.87
2016/12,32.95,0.53
2017/01,33.57,0.87
2017/02,41.18,5.1
2017/03,46.15,7.86
2017/04,53.8,12.11
2017/05,60.57,15.87
2017/06,70.36,21.31
2017/07,75.7,24.28
2017/08,72.01,22.23
2017/09,66.27,19.04
2017/10,55.69,13.16
2017/11,45.03,7.24
2017/12,34.29,1.27
2018/01,32.16,0.09
2018/02,35.51,1.95
2018/03,42.73,5.96
2018/04,49.03,9.46
2018/05,65.52,18.62
2018/06,71.55,21.97
2018/07,75.45,24.14
2018/08,73.51,23.06
2018/09,67.53,19.74
2018/10,53.71,12.06
2018/11,40.01,4.45
2018/12,35.51,1.95
2019/01,32.56,0.31
2019/02,31.84,-0.09
2019/03,40.28,4.6
2019/04,52.84,11.58
2019/05,59.49,15.27
2019/06,68.72,20.4
2019/07,74.62,23.68
2019/08,73.74,23.19
2019/09,68.43,20.24
2019/10,52.05,11.14
2019/11,41.11,5.06
2019/12,36.43,2.46
2020/01,35.55,1.97
2020/02,36.18,2.32
2020/03,46.08,7.82
2020/04,50.88,10.49
2020/05,60.91,16.06
2020/06,70.29,21.27
2020/07,75.65,24.25
2020/08,74.71,23.73
2020/09,65.91,18.84
2020/10,54.28,12.38
2020/11,46.31,7.95
2020/12,35.71,2.06
2021/01,34.59,1.44
2021/02,30.61,-0.77
2021/03,45.52,7.51
2021/04,51.87,11.04
2021/05,60.35,15.75
2021/06,72.59,22.55
2021/07,75.42,24.12
2021/08,73.98,23.32
2021/09,67.8,19.89
2021/10,56.97,13.87
2021/11,45.07,7.26
2021/12,39.34,4.08
2022/01,31.17,-0.46
2022/02,33.69,0.94
2022/03,44.08,6.71
2022/04,50.65,10.36
2022/05,61.9,16.61
